BHK,Size,Rent,City,Furnishing Status
2,1100,25000,Mumbai,Furnished
3,1500,45000,Mumbai,Semi-Furnished
1,600,12000,Delhi,Unfurnished
2,950,20000,Delhi,Furnished
3,1800,60000,Bangalore,Furnished
2,1050,22000,Bangalore,Semi-Furnished
1,500,8000,Chennai,Unfurnished
2,1200,28000,Chennai,Furnished
3,1600,50000,Hyderabad,Furnished
2,900,18000,Hyderabad,Semi-Furnished
1,650,10000,Mumbai,Semi-Furnished
4,2200,80000,Mumbai,Furnished
2,1000,22000,Delhi,Semi-Furnished
3,1400,38000,Delhi,Furnished
1,550,9000,Bangalore,Unfurnished
2,1100,26000,Bangalore,Furnished
3,1700,55000,Chennai,Furnished
2,800,16000,Chennai,Unfurnished
1,700,11000,Hyderabad,Furnished
4,2500,95000,Mumbai,Furnished
2,1050,23000,Mumbai,Unfurnished
3,1550,48000,Bangalore,Semi-Furnished
1,600,9500,Delhi,Semi-Furnished
2,1200,30000,Hyderabad,Furnished
3,1900,65000,Mumbai,Furnished
2,850,17000,Chennai,Semi-Furnished
1,500,8500,Bangalore,Unfurnished
4,2000,72000,Delhi,Furnished
2,1100,24000,Delhi,Furnished
3,1600,52000,Hyderabad,Semi-Furnished
2,1300,32000,Mumbai,Furnished
1,750,13000,Delhi,Furnished
3,1650,54000,Bangalore,Furnished
2,950,19000,Chennai,Semi-Furnished
4,2300,85000,Mumbai,Furnished
1,580,9200,Hyderabad,Unfurnished
2,1150,27000,Delhi,Furnished
3,1750,58000,Mumbai,Semi-Furnished
2,1000,21000,Bangalore,Unfurnished
1,620,10500,Chennai,Semi-Furnished
